Event,,,,,,,,,,,Style,,Duration,,,,TEM,,,,,Density,,Tephra plume top height,,,,,Spreading height of the Umbrella Cloud,,,,,SO2 plume height,,,,,PDC,,TEM metadata,,,,,,Collection,,TGSD metadata,,,,TGSD ,Vent Diameter (m),,Exit velocity (m/s),,Magma water content (wt.%),,Magma temperature (deg C),,Atmospheric Conditions,,,,,,References
El Chichón,El Chichonal,341120,10610,17.36,-93.228,1150,1982,A1,ELC1982_01,29/03/1982 05:32:00,phreatomagmatic,Unknown,5.5,0,0.5,1,5.00E+11,0,2.62E+11,2.62E+11,1,1300,yes,17.5,1,5,2,s,12,1,3,1,s,22,1,2,1,s,0.00E+00,0.00E+00,70,1.2,66,9,0.5,Unknown,negligible,8,yes,NA,NA,NA,3.96903848984823,Unknown,na,Unknown,na,7,3,800,50,7.01774154809656,0.012373236756647,0.000803569137169408,6.63049776604787,0.012192857155887,0.000696176376730758,"Global Volcanism Program ( March/April 1982), Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008), Robock and Matson (1983), Bonadonna and Costa (2013), Sulpizio (2005), Varekamp et al. (1984), Girault et al (2014), Rose et al (2009), Sigurdsson et al. (1987), Siggurdsson et al (1984), Schneider et al. (1999)"
El Chichón,El Chichonal,341120,10610,17.36,-93.228,1150,1982,B,ELC1982_02,04/04/1982 01:34:59,Unknown,Unknown,4.25,0,0.5,1,7.25E+11,0,2.73E+11,2.73E+11,1,1300,yes,Unknown,na,na,na,na,20,1,4,2,s,25,1,3,1,s,2.44E+11,Unknown,70,1.2,52,8,0.5,Unknown,negligible,8,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,7,3,800,50,11.3628773979075,0.013588476513179,0.00109436769462385,11.3487597416802,0.013476674615713,0.000978176693453776,"Global Volcanism Program ( March/April 1982), Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008), Robock and Matson (1983), Bonadonna and Costa (2013), Sulpizio (2005), Varekamp et al. (1984), Girault et al (2014), Rose et al (2009), Sigurdsson et al. (1987), Siggurdsson et al (1984), Schneider et al. (1999)"
El Chichón,El Chichonal,341120,10610,17.36,-93.228,1150,1982,C,ELC1982_03,04/04/1982 11:21:59,phreatomagmatic,Unknown,7,0,0.5,1,7.00E+11,0,3.18E+11,3.18E+11,1,1300,yes,Unknown,na,na,na,na,20,0,2,2,s,22,1,3,1,s,0.00E+00,Unknown,70,1.2,66,8,0.5,Unknown,negligible,8,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,7,3,800,50,10.998222155669,0.0137930660966852,0.0010732021655263,8.59604408448269,0.0137059275786674,0.000762554723208199,"Global Volcanism Program ( March/April 1982), Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008), Robock and Matson (1983), Bonadonna and Costa (2013), Sulpizio (2005), Varekamp et al. (1984), Girault et al (2014), Rose et al (2009), Sigurdsson et al. (1987), Siggurdsson et al (1984), Schneider et al. (1999)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13831,37.748,14.999,3295,1998,22 July,ETN1998_01,22/07/1998 15:38:00,magmatic,Strong,0.45,0,0.05,1,3.00E+09,1,2.01E+09,4.10E+09,0,1000,yes,11,1,3,2,"v,g",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,35,1,36,7,Unknown,0.1,some,0.005,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,4.70834485071372,0.0114376082288703,0.00107444728512415,4.5038758054417,0.011402598341417,0.000932087400655417,"Aloisi et al (2002), Coltelli et al. (2006), Bonadonna and Costa (2012), Global Volcanism Program (1998), Scollo et al. (2008)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13832,37.748,14.999,2570,2001,21 July,ETN2001_01,21/07/2001 09:30:00,phreatomagmatic,Weak,73.5,0,12,1,1.75E+09,0,8.75E+08,8.75E+08,0,1000,no,4.25,1,0.85,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,47,2.5,25,9,Unknown,0.3,some,0.045,yes,27,NA,NA,1.61830232206681,Unknown,na,70,30,Unknown,na,Unknown,na,13.3601786304749,0.0118407253474064,0.0128292421690298,11.2273511055381,0.0132925817385337,0.011389397504629,"Métrich et al (2004), Scollo et al (2007), IAVCEI THM database, Pioli et al (2019)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13836,37.748,14.999,2750,2002,27 October,ETN2002_01,27/10/2002 02:00:00,phreatomagmatic,Weak,10,0,1,1,8.70E+08,0,Unknown,Unknown,na,1067,no,5.95,0,0.64,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,16,5,55,4,Unknown,0.2,negligible,0.01,yes,NA,NA,NA,0.00735410482696326,Unknown,na,Unknown,na,2.7,1.8,Unknown,na,13.3586210736635,0.010723293697767,0.0066171695209872,11.7271774305044,0.010621115744336,0.00599686526802136,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016), Pioli et al (2019)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13836,37.748,14.999,2750,2002,28 October,ETN2002_02,28/10/2002 07:30:00,phreatomagmatic,Weak,6,0,1,1,1.05E+09,0,Unknown,Unknown,na,1067,no,6.95,0,0.84,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,18,3.75,25,3,Unknown,0.5,some,0.01,yes,NA,NA,NA,0.00735403160279421,Unknown,na,Unknown,na,2.7,1.8,Unknown,na,9.1733720784271,0.00905631723569375,0.00363736289233462,10.0143727987515,0.00976561760209201,0.00388737548853602,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016), Pioli et al (2019)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13836,37.748,14.999,2750,2002,31 October,ETN2002_03,31/10/2002 12:00:00,phreatomagmatic,Weak,4,0,1,1,4.50E+08,0,Unknown,Unknown,na,1067,no,6.45,0,0.74,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,10,4.37,16,3,Unknown,0.2,some,0.01,yes,NA,NA,NA,0.00735401367444055,Unknown,na,Unknown,na,Unknown,na,Unknown,na,13.3490064609163,0.00946429518596934,0.00638885587079706,11.345065376146,0.00998876282073816,0.00566598310835023,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016), Pioli et al (2019)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13836,37.748,14.999,2750,2002,4 November,ETN2002_04,03/11/2002 23:00:00,phreatomagmatic,Weak,18,0,1,1,1.39E+09,0,Unknown,Unknown,na,1067,no,5.65,0,0.58,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,12,9.25,24,5,Unknown,0.3,significant,0.01,yes,NA,NA,NA,0.00735404770411422,Unknown,na,Unknown,na,Unknown,na,Unknown,na,11.0577420854399,0.011180064438211,0.00567285675766568,11.4921024073085,0.0118311183825456,0.00594711404890004,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016), Pioli et al (2019)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13848,37.748,14.999,3315,2006,16 November,ETN2006_01,16/11/2006 07:30:00,magmatic,Weak,8,1,3,0,7.00E+06,0,Unknown,Unknown,na,1000,no,3.9,0,0.5,0,"g,u",Unknown,na,na,na,u,Unknown,na,na,na,u,4.82E+08,1.23E+08,17,5,35,4,Unknown,0.0006,negligible,0.0032,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,5.98458914698723,0.0139564419393859,0.0156165235169583,6.37179822759622,0.0158616807993392,0.0166027437353555,Norini et al (2009)
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13848,37.748,14.999,2800,2006,24 November,ETN2006_02,24/11/2006 02:45:00,magmatic,Weak,11.5,0,1.5,0,1.80E+08,0,1.00E+08,1.00E+08,1,1070,no,4.8,0,0.6,0,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,27,1,80,6,Unknown,0.01,significant,Unknown,yes,NA,NA,NA,1.50083730742782,Unknown,na,Unknown,na,Unknown,na,Unknown,na,10.4746054167927,0.0138335501529156,0.00811122930911971,8.13422634220069,0.014273270231974,0.00609028995764493,"Andronico et al (2009), Andronico et al (2014), Lodato and  Behncke (2006)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13854,37.748,14.999,3200,2011,12 January,ETN2011_01,12/01/2011 21:50:00,magmatic,Unknown,1.66,0,0.17,1,1.50E+08,0,4.00E+07,4.00E+07,0,1000,no,9.2,0,2.4,1,"v,g",Unknown,na,na,na,u,6,0,1,0,s,0.00E+00,Unknown,45,1,103,10,Unknown,0.0005,negligible,0.015-0.17,yes,40,1,80,-2.31878015986108,Unknown,na,Unknown,na,Unknown,na,Unknown,na,15.9928214650496,0.00982966237978667,0.00496240477897239,9.47477690486938,0.0104995093846305,0.00290419378640468,"Calvari et al. (2011), Carboni et al. (2016), Andronico et al. (2014), Costa et al (2016)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,13854,37.748,14.999,3300,2013,23 February,ETN2013_01,23/02/2013 18:15:00,magmatic,Unknown,1.1,0,0.11,2,2.00E+09,0,1.00E+09,1.00E+09,0,1000,no,8.1,0,1.5,1,u,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,10,7,410,Unknown,Unknown,0.016,negligible,Unknown,yes,10,NA,NA,-1.7337979983943,Unknown,na,Unknown,na,Unknown,na,Unknown,na,31.2279067169878,0.0101099814071715,0.0110213808610928,31.2053755292978,0.00997060107477573,0.01077335453546,Poret et al. (2018a)
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,20841,37.748,14.999,3300,2013,26 October,ETN2013_02,26/10/2013 05:00:00,magmatic,Weak,5.5,1,2.5,1,2.25E+08,0,7.60E+07,7.60E+07,0,1000,no,8,0,2,2,u,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,10,0.7,90,3,Unknown,0.04,negligible,0.06,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,7.84308766672036,0.00989938183871276,0.00307019192876286,7.2277948776025,0.00980321989860491,0.00281023957113455,"Andronico et al. (2018),Sellitto et al. (2016)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,20841,37.748,14.999,3300,2013,23 November,ETN2013_03,23/11/2013 08:30:00,magmatic,Unknown,0.62,0,0.21,0,1.30E+09,0,1.10E+09,1.10E+09,0,1000,no,10.5,0,2.5,0,"v,g,s",8.5,1,2.5,1,"v,s",7,0,2,2,s,Unknown,Unknown,9,5,25,6,Unknown,0.1,some,0.032,yes,7,NA,NA,-1.65076521033752,Unknown,na,165,95,Unknown,na,Unknown,na,35.4818122007977,0.0129142636496611,0.00848988340201205,34.4145127898274,0.0126253753988882,0.00858604086287983,"Bonaccorso et al. (2014), Andronico et al. (2015), Poret et al. (2018b), Corradini et al. (2016)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,20841,37.748,14.999,3300,2016,18 & 19 May,ETN2016_01,18/05/2016 11:00:00,magmatic,Unknown,5.17,0,1.08,0,3.55E+07,0,2.45E+07,2.45E+07,0,1000,no,5.5,0,1.5,0,u,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,11,8.5,20,4,Unknown,0.01,some,0.017,yes,NA,NA,NA,0.328838449580314,Unknown,na,Unknown,na,Unknown,na,Unknown,na,14.504878418446,0.0105886899009564,0.0103201805227274,17.2380364143186,0.0111714936025197,0.0117377491501195,"Edwards et al. (2018), Global Volcanism Program (2017)"
Etna,"Aetna, Mongibello, Etnea, Mons Gibel Utlamat, Monte di Catania",211060,20841,37.748,14.999,3300,2016,21 May,ETN2016_02,21/05/2016 02:15:00,magmatic,Unknown,2.17,0,0.22,1,5.55E+06,0,9.50E+05,9.50E+05,0,1000,no,6,0,1,2,u,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,16,2.5,28,4,Unknown,0.01,some,0.008,yes,NA,NA,NA,0.627084928884379,Unknown,na,Unknown,na,Unknown,na,Unknown,na,20.6126328155416,0.0104891069513653,0.012011250525574,23.3262799533751,0.0106976023601528,0.0138776432019909,"Edwards et al. (2018), Global Volcanism Program (2017)"
Eyjafjallajökull,"Eyafjalla, Eyjafjöll",372020,12563,63.633,-19.633,1660,2010,14-16 April,EYJ2010_01,14/04/2010 01:00:00,phreatomagmatic,Weak,71,1,12,1,1.30E+11,0,3.00E+10,3.00E+10,0,1400,yes,5.7,0,0.6,1,g,5,0,1,1,s,Unknown,na,na,na,u,0.00E+00,0.00E+00,85,1,83,9,0.1,Unknown,negligible,2.5-15.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.7,Unknown,Unknown,na,22.085598734412,0.0122781399213007,0.0092205237866703,24.4967921832746,0.0128147764096337,0.0102285711205997,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012), Carboni et al (2016), Stohl et al (2011), Flemming and Inness (2013), Höskuldsson et al (2018)"
Eyjafjallajökull,"Eyafjalla, Eyjafjöll",372020,12563,63.633,-19.633,1660,2010,17 April,EYJ2010_02,17/04/2010 00:00:00,phreatomagmatic,Weak,30,1,12,2,4.00E+10,0,1.00E+10,1.00E+10,0,1400,yes,5.6,0,0.6,1,g,4.5,0,0.5,1,s,Unknown,na,na,na,u,0.00E+00,0.00E+00,31,1.6,14,11,0.1,Unknown,significant,2.5-15.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.7,Unknown,Unknown,na,12.5664562209494,0.0135641044790782,0.00539357105368961,12.0699672792573,0.0138230431202471,0.00534568831293661,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012), Carboni et al (2016), Stohl et al (2011), Flemming and Inness (2013), Höskuldsson et al (2018)"
Eyjafjallajökull,"Eyafjalla, Eyjafjöll",372020,12563,63.633,-19.633,1660,2010,18 April - 21 May,EYJ2010_03,18/04/2010 06:00:00,magmatic,Weak,822,0,12.4,1,2.55E+11,0,1.27E+11,1.27E+11,0,1400,yes,4.6,0,0.5,0,g,5.5,0,1.5,1,s,5.5,0,1.5,1,s,0.00E+00,0.00E+00,250,1.3,83,13,0.1,Unknown,significant,2.5-15.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.7,Unknown,Unknown,na,6.56647193083204,0.0126429656629637,0.00392259104813571,5.49535175970396,0.0129032827358094,0.00348443663588804,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012), Carboni et al (2016), Stohl et al (2011), Flemming and Inness (2013), Höskuldsson et al (2018)"
Eyjafjallajökull,"Eyafjalla, Eyjafjöll",372020,12563,63.633,-19.633,1660,2010,4-8 May,EYJ2010_04,04/05/2010 18:30:00,magmatic,Weak,90,0,0.5,0,2.90E+10,0,9.70E+09,9.70E+09,0,1226,no,5.1,0,0.5,0,g,6.5,0,1.5,1,s,5.5,0,1.5,1,s,0.00E+00,0.00E+00,17,2,56,4,Unknown,0.05,negligible,0,yes,12,2,56,2.04573602230449,Unknown,na,Unknown,na,1.7,Unknown,Unknown,na,9.84834236412988,0.0120267110761556,0.00465501396872801,12.6779148137236,0.0123236231292802,0.0061054136981772,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012), Carboni et al (2016), Stohl et al (2011), Flemming and Inness (2013), Höskuldsson et al (2018)"
Fuego,Hunahpu,342090,10725,14.473,-90.88,3763,1971,14 September,FUE1971_01,14/09/1971 20:44:59,Unknown,Unknown,11.125,0,1.125,1,1.89E+11,0,1.08E+11,Unknown,2,1350,yes,12,1,5,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,70,5,138,5,1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,6.38010891403993,0.0104147993687904,0.00117904634544827,6.07629931661201,0.0101952696091958,0.00136410475347538,"Bonnis and Salazar (1973), Rose et al (1973), Sulpizio (2005), Global Volcanism Bulletin (1971)"
Fuego,Hunahpu,342090,10727,14.473,-90.88,3763,1974,14 October,FUE1974_01,14/10/1974 13:30:00,magmatic,Unknown,5,0,1,2,5.13E+10,0,1.71E+10,1.71E+10,0,1140,yes,Unknown,na,na,na,na,11,1,2,1,v,Unknown,na,na,na,u,1.00E+10,5.00E+09,48,7,80,6,0.2,Unknown,negligible,0.05,yes,43,7,80,0.109988792947139,40,Unknown,Unknown,na,Unknown,na,1050,30,7.31592735066138,0.010554627394752,0.00154966353070891,5.56610036053624,0.0106814178955753,0.00100071009252384,"Global Volcanism Program (1974),  Rose et al (1978), Murrow et al (1980), Rose et al (2008), Bonadonna and Costa (2012), Bonis and Salazar (1973), Davies et al. (1978), Bonadonna et al. (2015)"
Grímsvötn,Sviagigur,373010,12842,64.416,-17.316,1400,2004,Unit C,GRI2004_01,02/11/2004 01:27:00,phreatomagmatic,Unknown,18.1,0,0.5,2,2.79E+10,1,1.39E+10,1.39E+10,1,1190,no,11,0,2.5,1,"g,v",Unknown,na,na,na,u,Unknown,na,na,na,u,8.00E+09,8.00E+09,75,0.7,7,7,1,Unknown,negligible,9-21,yes,NA,NA,NA,1.58577160630783,Unknown,na,Unknown,na,Unknown,na,Unknown,na,27.3663866084964,0.012203524657005,0.00471735006080009,27.0897121454551,0.0122990286589289,0.00464872662315807,"Oddsson et al (2012), Jude-Eton et al (2012), Höskuldsson et al (2018)"
Grímsvötn,Sviagigur,373010,12842,64.416,-17.316,1400,2004,Unit E,GRI2004_02,02/11/2004 21:03:00,phreatomagmatic,Unknown,12.9,0,0.5,2,9.94E+09,1,4.97E+09,4.97E+09,1,1190,no,8.8,0,2,1,"g,v",Unknown,na,na,na,u,Unknown,na,na,na,u,1.50E+09,1.50E+09,75,0.7,7,9,0.1,Unknown,negligible,9-21,yes,NA,NA,NA,1.58577179457069,Unknown,na,Unknown,na,Unknown,na,Unknown,na,23.455675285462,0.0117509940591043,0.0055601386086433,26.4525835672116,0.0108501114036349,0.00609079454072251,"Oddsson et al (2012), Jude-Eton et al (2012), Höskuldsson et al (2018)"
Grímsvötn,Sviagigur,373010,20767,64.416,-17.316,1450,2011,21 May,GRI2011_01,21/05/2011 19:00:00,phreatomagmatic,Strong,27,1,3,1,7.29E+11,0,1.89E+11,1.89E+11,0,1000,yes,16,0,4,1,g,Unknown,na,na,na,u,9,0,1.5,0,s,0.00E+00,Unknown,300,Unknown,Unknown,Unknown,Unknown,Unknown,some,0.07-2,yes,NA,NA,NA,1.59458052418791,Unknown,na,Unknown,na,Unknown,na,Unknown,na,5.01416237753287,0.0165185590356422,0.000537721646658737,5.31998275612032,0.0167542282814136,0.000548238290946872,"Global Volcanism Program (2011), Petersen et al (2012), Marzano et al (2013), Hreinsdottir et al (2014),  Höskuldsson et al (2018), Carboni et al (2016)"
Hekla,"Heklufell, Heklufjall",372070,12749,63.983,-19.666,1447,1947,29 March brown-grey tephra,HEK1947_01,29/03/1947 06:51:00,Unknown,Strong,0.5,0,0.1,2,1.19E+11,0,3.80E+10,3.80E+10,2,666,yes,28,1,5,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,24,Unknown,40,11,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,14.4572660692264,0.0185675288454907,0.000742688973286093,31.9288934790682,0.0185443388751797,0.00233343186826757,"Thorarinson (1950), Bonadonna and Houghton (2005), Bonadonna and Costa (2012), Höskuldsson et al (2007), Thorarinsson (1949)"
Hekla,"Heklufell, Heklufjall",372070,12749,63.983,-19.666,1447,1947,29 March brown-black tephra,HEK1947_02,29/03/1947 07:20:00,Unknown,Unknown,2,1,1.5,1,4.00E+10,0,2.00E+10,2.00E+10,2,666,yes,16,1,6,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,24,Unknown,40,11,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,16.9983312980104,0.0165328228958493,0.00168949854586646,17.7929274181635,0.0158335937391427,0.00232041515960672,"Thorarinson (1950), Bonadonna and Houghton (2005), Bonadonna and Costa (2012), Höskuldsson et al (2007), Thorarinsson (1949)"
Hekla,"Heklufell, Heklufjall",372070,12750,63.983,-19.666,630,1970,5 May,HEK1970_01,05/05/1970 22:09:59,Unknown,Unknown,2.25,1,0.75,0,4.50E+10,0,Unknown,Unknown,na,1000,yes,14,0,3,1,"v,g",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,55,2,320,7,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,1050,Unknown,20.644428849908,0.0155903555400772,0.00247654300022537,22.0190652674428,0.0155067417391104,0.00257688401378687,"Höskuldsson et al (2007),  Thorarinsson and Sigvaldason (1971), Sulpizion (2005), Global Volcanism Program (1970), Global Volcanism Program (1971)"
Hekla,"Heklufell, Heklufjall",372070,12751,63.983,-19.666,1490,1980,17 August,HEK1980_01,17/08/1980 13:27:00,Unknown,Unknown,4,1,2,1,4.20E+10,0,Unknown,Unknown,na,700,yes,14,1,3,2,v,9.5,0,2.5,0,o,Unknown,na,na,na,u,0.00E+00,Unknown,75,3,37,8,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,11.4628385780062,0.0151651698688538,0.00172868703148944,12.3069983574307,0.0148098407099322,0.00176447223208583,"Gronvold et al (1983), Sulpizio (2005), Global Volcanism Program (1980), Höskuldsson et al (2007), Lacasse et al. (2004)"
Hekla,"Heklufell, Heklufjall",372070,12753,63.983,-19.666,1050,1991,17 January,HEK1991_01,17/01/1991 04:59:59,Unknown,Unknown,1,0,0.2,1,9.80E+09,0,1.20E+09,1.20E+09,0,1000,no,11.5,0,1.2,0,"v,g,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,120,5,160,12,Unknown,0.1,negligible,0.1-264,yes,NA,NA,NA,-1.86425858660427,Unknown,na,Unknown,na,1.2,0.4,Unknown,na,31.7851175782341,0.0144988651178749,0.00531347647387097,31.0485181002217,0.0145024093408276,0.00527800951954528,"Gudmundson et al (1992), Sulpizio (2005),  Lucic et al (2016), Höskuldsson et al (2018), Höskuldsson et al (2007), Gudnason et al (2017)"
Hekla,"Heklufell, Heklufjall",372070,12754,63.983,-19.666,1491,2000,26 February,HEK2000_01,26/02/2000 18:19:00,phreatomagmatic,Unknown,3.25,1,1.75,1,1.00E+10,1,Unknown,Unknown,na,1000,yes,11,0,2,0,"g,s",10,0,2,1,"v,s,g",Unknown,na,na,na,u,Unknown,Unknown,Unknown,Unknown,Unknown,7,Unknown,0.01,negligible,Unknown,yes,NA,NA,NA,2.72630944486423,Unknown,na,Unknown,na,2.4,0.3,Unknown,na,12.0740461020491,0.0127482263431606,0.00258944434037133,18.9230724669121,0.0125486149029849,0.00394882003473675,"Rose et al (2003), Moune et al (2007), Höskuldsson et al (2018), Lacasse et al. (2004), Rose et al. (2003), Biass et al (2014)"
St. Helens,"Tahonelatclah, Lawalaclough, Loowitlatkla , Lawelatla , Saint Helens , Mount St. Helens, Mount  Saint Helens",321050,20557,46.2,-122.18,2550,1980,18 May co-blast plume,HEL1980_01,18/05/1980 16:30:00,magmatic,Unknown,0.5,0,0.125,1,2.59E+11,0,1.60E+11,1.60E+11,1,450,yes,28.5,0,5,2,"g,s",11,0,1,0,u,20.5,2,2.5,2,u,Unknown,Unknown,145,9,630,12,0.05,Unknown,negligible,0.06-0.12,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,11.2047506836709,0.0178629856704087,0.00044936973933383,11.1976549396257,0.0175694582715004,0.000449596670141091,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013), Sulpizio (2005), Eychenne et al. (2015), Rutherford et al (1985), Voight et al (1981), Rowley et al (1981), Carey et al (1990), Rose et al (2009), Chung et al (1981), Danielsen (1981), Carey and Sigurdsson (1982)"
St. Helens,"Tahonelatclah, Lawalaclough, Loowitlatkla , Lawelatla , Saint Helens , Mount St. Helens, Mount  Saint Helens",321050,20557,46.2,-122.18,2550,1980,18 May plinian,HEL1980_02,18/05/1980 16:59:59,magmatic,Strong,9.5,0,0.95,2,2.59E+11,0,1.60E+11,1.60E+11,1,450,yes,16.5,0,3,0,"g,s",10.5,0,2.5,0,"v,s",20.5,2,2.5,2,"s,o",1.56E+11,Unknown,145,9,630,12,0.05,Unknown,negligible,0.06-0.12,yes,36,50,670,4.61146923811282,Unknown,na,Unknown,na,4.6,1.1,930,10,16.4563429640541,0.0143368247168607,0.00186573548530101,18.6754831338087,0.0141632229931152,0.00207820379924278,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013), Sulpizio (2005), Eychenne et al. (2015), Rutherford et al (1985), Voight et al (1981), Rowley et al (1981), Carey et al (1990), Rose et al (2009), Chung et al (1981), Danielsen (1981), Carey and Sigurdsson (1982)"
