Event,,,,,,,,,,,Style,,Duration,,,,TEM,,,,,Density,,Tephra plume top height,,,,,Spreading height of the Umbrella Cloud,,,,,SO2 plume height,,,,,PDC,,TEM metadata,,,,,,Collection,,TGSD metadata,,,,TGSD ,Vent Diameter (m),,Exit velocity (m/s),,Magma water content (wt.%),,Magma temperature (deg C),,Atmospheric Conditions,,,,,,References
St. Helens,"Tahonelatclah, Lawalaclough, Loowitlatkla , Lawelatla , Saint Helens , Mount St. Helens, Mount  Saint Helens",321050,20557,46.2,-122.18,2550,1980,25 May,HEL1980_03,25/05/1980 10:30:00,magmatic,Unknown,12,1,6.5,1,4.20E+10,0,1.50E+10,1.50E+10,2,1030,yes,9,1,3,1,"g,v",Unknown,na,na,na,u,Unknown,na,na,na,u,1.30E+09,Unknown,88,3.7,175,11,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,8.98437558584743,0.0111210839802984,0.00214172827971614,8.81779195533671,0.0113459888569108,0.00250868157934072,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013), Sulpizio (2005), Rutherford et al (1985), Voight et al (1981), Rowley et al (1981), Carey et al (1990), Rose et al (2009), Chung et al (1981), Danielsen (1981)"
St. Helens,"Tahonelatclah, Lawalaclough, Loowitlatkla , Lawelatla , Saint Helens , Mount St. Helens, Mount  Saint Helens",321050,20557,46.2,-122.18,2550,1980,12 June,HEL1980_04,13/06/1980 05:10:59,magmatic,Unknown,3.24,0,0.42,0,4.50E+10,0,1.60E+10,1.60E+10,2,1250,yes,10,1,4,1,"g,v",Unknown,na,na,na,u,Unknown,na,na,na,u,1.30E+10,Unknown,80,2.7,137,9,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,11.6061450655914,0.0110225229761074,0.00276635391331926,12.507830643105,0.00970103017981547,0.0026633827563441,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013), Sulpizio (2005), Rutherford et al (1985), Voight et al (1981), Rowley et al (1981), Carey et al (1990), Rose et al (2009), Chung et al (1981), Danielsen (1981)"
St. Helens,"Tahonelatclah, Lawalaclough, Loowitlatkla , Lawelatla , Saint Helens , Mount St. Helens, Mount  Saint Helens",321050,20557,46.2,-122.18,2550,1980,22 July,HEL1980_05,23/07/1980 03:00:59,magmatic,Unknown,2.66,0,0.53,2,4.00E+09,0,1.40E+09,1.40E+09,2,450,yes,12,1,3,2,"g,v,s",Unknown,na,na,na,u,Unknown,na,na,na,u,8.00E+09,Unknown,39,6.5,487,7,Unknown,0.006,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,16.325934953727,0.0107623445743391,0.00300554536821985,17.753297125018,0.0108393755040379,0.00311242825597789,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013), Sulpizio (2005), Rutherford et al (1985), Voight et al (1981), Rowley et al (1981), Carey et al (1990), Rose et al (2009), Chung et al (1981), Danielsen (1981)"
St. Helens,"Tahonelatclah, Lawalaclough, Loowitlatkla , Lawelatla , Saint Helens , Mount St. Helens, Mount  Saint Helens",321050,20560,46.2,-122.18,2100,2005,8 March,HEL2005_01,09/03/2005 01:25:00,phreatic,Weak,0.45,0,0.25,0,2.50E+08,2,1.25E+08,6.50E+08,2,1000,yes,8.5,0,2.5,1,"g,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,20,0.45,6.2,3,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,13.3184804910953,0.0105415360620089,0.0033926861656354,15.9355306585802,0.0109029166896758,0.00437207177366886,"Mastin (2007), Matoza, Hedlin and Garcés (2007), Scott, Sherrod and Gardner (2008)"
Kasatochi,NA,311130,19745,52.177,-175.508,300,2008,7 August,KAS2008_01,07/08/2008 22:01:00,magmatic,Unknown,13.25,0,2.75,0,2.80E+11,0,1.42E+11,Unknown,2,1000,yes,14,0,4,0,s,13,0,3,0,s,10,0,3,0,s,Unknown,Unknown,8,7.3,52,3,1,Unknown,significant,0.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,6,0.9,Unknown,na,8.51349525699949,0.0140902391836751,0.00103366646373469,11.1096427486199,0.0143307683770535,0.00128745801268072,"Izbekov et al (2009), Waythomas et al (2010), Corradini et al (2010), Bitar et al (2010), Carboni et al (2016), Fee et al (2010), Kristiansen et al (2010),  Prata et al (2010), Global Volcanism Program (2008)"
Kelut,"Kloet, Keloet, Coloot, Kelud, Keluit, Keloed",263280,15955,-7.93,112.308,1731,1951,31 August,KEL1951_01,30/08/1951 23:30:00,Unknown,Strong,9.5,1,2,1,1.20E+11,1,Unknown,Unknown,na,1000,yes,10,1,4,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,8.00E+10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,11.3134503471697,0.0119157690819094,0.00189834097640492,7.12656376375632,0.0114256796858552,0.00133625861678902,"Bourdier et al. (1997), Hadikusumo (1961)"
Kelut,"Kloet, Keloet, Coloot, Kelud, Keluit, Keloed",263280,15957,-7.93,112.308,1731,1990,Unit P,KEL1990_01,10/02/1990 05:35:00,magmatic,Unknown,4,0,1,2,1.00E+11,1,Unknown,Unknown,na,1000,yes,12,0,3,2,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,2.60E+10,Unknown,30,1.3,35,8,1.3,35,Unknown,0.1,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,4.9824308925724,0.0111082665164639,0.000664177749564783,3.33948764520688,0.0106211139652565,0.000419563235996298,"Global Volcanism Program (1990), Bourdier et al (1997)"
Kelut,"Kloet, Keloet, Coloot, Kelud, Keluit, Keloed",263280,20934,-7.93,112.308,1731,2014,Unit B,KEL2014_01,13/02/2014 15:50:00,magmatic,Strong,2.325,0,0.7,0,4.97E+11,0,1.76E+11,1.76E+11,0,1400,yes,23,0,3,0,s,18,0,2,0,s,20,0,2,0,s,0.00E+00,Unknown,56,3.3,215,4,0.1,Unknown,some,0.05,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,12.2942527858815,0.0151740397371463,0.000931167515012785,13.087556188725,0.0151546450289832,0.000982471141844951,"Suzuki et al (2014), Cassidy et al (2015), Caudron et al (2015), Kristiansen et al (2015), Vernier et al (2016), Kylling (2016), Global Volcanism Program (2014), Maeno et al (2018)"
Láscar,"Laskar,  Las Kar, Illascar, Hlascar, Toconado, Toconao",355100,11868,-23.37,-67.73,5450,1993,18 April,LAS1993_01,19/04/1993 01:59:59,magmatic,Strong,30,1,18,1,2.50E+11,1,Unknown,Unknown,2,1000,yes,15,1,7,1,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,4.81E+09,Unknown,Unknown,Unknown,Unknown,4,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,20.488007292392,0.0111739333119217,0.0038445302627456,26.70655900987,0.0110003160799568,0.00459044352777855,"Deruelle et al (1996), Romero et al. (2013), Dennis et al. (1998), Sparks et al. (1997), Global Volcanism Program (1993)"
Merapi,NA,263250,15925,-7.54,110.446,2968,2010,4 November,MER2010_01,04/11/2010 17:05:00,magmatic,Unknown,36,1,12,1,2.20E+10,1,9.13E+09,2.34E+10,1,1000,yes,17,0,3,2,"s,u",Unknown,na,na,na,u,16.25,0,1.25,0,s,7.80E+10,2.60E+10,60,4,30,5,1,Unknown,negligible,0.5-7,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,5,1,1000,40,6.52608339323273,0.0110222940614989,0.000871723921235776,5.67971441658583,0.0108670972106409,0.000829350617518306,"Global Volcanism Program (2011), Surano et al (2012), Costa et al (2013), Solikin et al (2015), Shibata and Kinoshita (2016), Carboni et al (2016_)"
Miyakejima,Miyake-jima,284040,18273,34.094,139.526,775,2000,8 July,MIY2000_01,08/07/2000 09:41:00,phreatic,Unknown,0.32,0,0.08,2,4.50E+08,0,Unknown,Unknown,na,1000,yes,2.3,0,0.7,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,50,0.5,4.5,9,0.05,Unknown,some,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,15.9807630973747,0.0115965470312478,0.014038211975121,17.5934269653513,0.0130220630691432,0.0168938766006357,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010), McCarthy et al (2008), Global Volcanism Program (2000)"
Miyakejima,Miyake-jima,284040,18273,34.094,139.526,775,2000,10 August,MIY2000_02,09/08/2000 23:00:00,phreatomagmatic,Unknown,6.25,0,2.25,0,1.23E+09,0,Unknown,Unknown,na,1400,yes,9,0,3,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,65,0.5,4.7,8,0.1,Unknown,some,Unknown,no,NA,NA,NA,Unknown,100,Unknown,Unknown,na,Unknown,na,Unknown,na,7.60733602031063,0.0113944986053447,0.00148666060316592,6.8583767641049,0.0112174552671295,0.00152246018311892,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010), McCarthy et al (2008), Global Volcanism Program (2000)"
Miyakejima,Miyake-jima,284040,18273,34.094,139.526,775,2000,18 August,MIY2000_03,18/08/2000 08:05:00,phreatomagmatic,Strong,3.43,0,1.12,0,1.05E+10,0,Unknown,Unknown,na,1400,yes,16,0,4,2,"v,s",11,0,4,0,"s,v",16,0,1.5,0,s,0.00E+00,Unknown,65,0.9,5.4,7,0.32,Unknown,significant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,2.2,1.4,1100,Unknown,8.28556114316935,0.0124006348151828,0.000986209110371171,8.58042728967543,0.0120487242496817,0.00113039241644634,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010), McCarthy et al (2008), Global Volcanism Program (2000)"
Soufrière Hills Montserrat,Chance's Mountain,360050,12346,16.72,-62.18,915,1997,26 September,SHM1997_01,26/09/1997 18:56:00,magmatic,Unknown,1,0,0.3,2,5.50E+08,0,1.85E+08,1.85E+08,1,1100,yes,11.3,0,3,2,s,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,12,5.5,9.2,2,1,Unknown,significant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,4.91845814471413,0.0107048071787741,0.000773916449060097,6.41726676739865,0.0108007507560636,0.00106916953793165,"Bonadonna et al (2002), Bonadonna and Costa (2012), Global Volcanism Program (1996)"
Nakadake - Asosan,NA,282110,20960,32.884,131.104,1592,2015,14 September,NAK2015_01,14/09/2015 00:43:00,phreatomagmatic,Unknown,0.075,1,0.017,1,2.70E+07,0,Unknown,Unknown,na,1000,no,3.59,0,0.5,2,"v,u",Unknown,na,na,na,u,Unknown,na,na,na,u,5.20E+07,Unknown,49,1,8.2,9,Unknown,0.02,negligible,0.002-0.03,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,1.88949294116494,0.0158982777190564,0.00124776728904199,3.12169498596017,0.0148640388450362,0.00183840861383507,"Miyabuchi et al. (2018), Global Volcanism Program (2017)"
Nevado del Ruiz,Paramo de Ruiz,351020,11290,4.892,-75.324,5400,1985,13 November,NEV1985_01,14/11/1985 02:08:59,magmatic,Unknown,0.58,1,0.25,1,3.50E+10,0,Unknown,Unknown,na,900,yes,15.9,0,5.25,2,u,Unknown,na,na,na,u,11.5,1,4.5,1,s,6.50E+09,Unknown,35,4.6,60,6,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,2.5,1.5,1025,65,7.19434811499066,0.0107569111379043,0.00133928412128656,12.3740099014109,0.00947374901055928,0.00219856632680905,"Global Volcanism Program (1985), Naranjo et al (1986), Voight (1990), Krueger et al (1990), Melson et al (1990), Girault et al (2014)"
Ngauruhoe - Tongariro,NA,241080,14603,-39.157,175.632,2291,1975,19 February,NGA1975_01,19/02/1975 00:00:00,phreatic,Strong,1.25,1,0.33333,1,2.86E+09,0,Unknown,Unknown,na,950,yes,11,0,2,2,v,Unknown,na,na,na,v,Unknown,na,na,na,u,1.60E+09,5.00E+08,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,400,na,Unknown,na,Unknown,na,8.82422320543619,0.0104442861542332,0.00192098828638577,12.5987932186901,0.00996093946390418,0.00303188513109297,"Nairn and Self (1978), Global Volcanism Program (1975)"
Okmok,Zoomie,311290,19852,53.43,-168.13,1073,2008,Basal unit,OKM2008_01,12/07/2008 19:43:00,phreatomagmatic,Unknown,4.03,0,0.25,0,2.03E+11,0,Unknown,Unknown,na,1600,yes,16.5,0,1.5,2,s,15.5,0,1,1,s,Unknown,na,na,na,u,Unknown,Unknown,94,0.1,23,8,1,Unknown,significant,2-13,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.7,1,1120,50,11.453367291001,0.0140342321271268,0.00119922578733117,9.11412888036972,0.0145299933869986,0.000982535537467504,"Unema (2001), Larsen et al (2009),   Larsen et al (2013), Larsen et al (2015), personnal communication with Jessica Larsen, Michael Ort and Peter Webley (January 2017), Fee et al (2010), Carboni et al (2016)"
Okmok,Zoomie,311290,19852,53.43,-168.13,1073,2008,Upper layer,OKM2008_02,12/07/2008 23:45:00,phreatomagmatic,Unknown,908,0,48,2,9.60E+11,0,Unknown,Unknown,na,1600,yes,6.7,1,3.7,1,s,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,140,0.3,22,11,1,Unknown,significant,2-13,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,8.94973704954112,0.0128858262464078,0.00281985553840614,7.55378570724178,0.0130725849146704,0.00247155711765841,"Unema (2001), Larsen et al (2009),   Larsen et al (2013), Larsen et al (2015), personnal communication with Jessica Larsen, Michael Ort and Peter Webley (January 2017), Fee et al (2010), Carboni et al (2016)"
Ontakesan ,"Kiso-ontake , On-take, Ontake",283040,20964,35.893,137.48,2725,2014,27 September,ONT2014_01,27/09/2014 02:52:00,phreatic,Unknown,6,0,0.5,2,1.00E+09,0,5.14E+08,9.41E+08,0,1250,no,6,0,1.5,1,"g,v",Unknown,na,na,na,u,Unknown,na,na,na,u,1.10E+08,9.00E+07,147,4,80,11,Unknown,0.001,negligible,1.5,no,NA,NA,NA,Unknown,Unknown,na,100,10,Unknown,na,Unknown,na,6.2489837294595,0.0132481772919861,0.00362667992204226,7.39796114437526,0.0139120630839374,0.00465592147256963,"Maeno et al (2016), Oikawa et al (2016), Kaneko et al (2016), Takarada et al 2016, Global Volcanism Program (2015)"
Pinatubo,NA,273083,16867,15.13,120.35,1750,1991,Layer A,PIN1991_01,12/06/1991 00:51:00,magmatic,Strong,0.88,0,0.28,1,1.40E+10,0,Unknown,Unknown,2,1000,yes,19,0,3,2,"s,v",Unknown,na,na,na,s,Unknown,na,na,na,u,Unknown,Unknown,54,4.2,40,2,1,Unknown,significant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,10.1600195226452,0.0131138582049988,0.00105325963093608,10.0701099913636,0.0129143042640433,0.00110073174959709,"Paladio-Melosantos et al (1996), Newhall and Punongbayan (1996) , Holasek et al (1996), Hoblitt et al (1996), Koyaguchi and Ohno (2001)"
Pinatubo,NA,273083,16867,15.13,120.35,1750,1991,Layer C,PIN1991_02,15/06/1991 05:30:00,magmatic,Strong,6,0,3,0,4.07E+12,0,1.35E+12,1.35E+12,0,1100,yes,32,0,3,1,s,22,0,3,1,s,25,0,3,1,"s,g,o",6.30E+12,1.00E+12,250,3,45,8,0.1,Unknown,significant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,6,1,Unknown,na,16.6410652818948,0.0175388689568386,0.00103403676712281,15.9979680042378,0.0171192712067044,0.00100437455140146,"Paladio-Melosantos et al (1996), Newhall and Punongbayan (1996) , Holasek et al (1996), Scaillet and Evans (1999), Koyaguchi and Ohno (2001), Scott et al (1996), Koyaguchi (1996), Guo et al (2004a), Guo et al (2004b), Lynch and Stephens (1996)"
Popocatépetl,"Xalliquehuac, Popocatzin, Popocatepec",341090,10551,19.023,-98.622,5452,1996,30 April,POP1996_01,30/04/1997 18:18:59,magmatic,Unknown,0.13,0,0.016,2,5.30E+08,0,Unknown,Unknown,na,1000,yes,9.45,0,1,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,80,10,150,4,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,9.1262579740745,0.00954009396120031,0.0041460552987778,6.73356157041147,0.0101047017399648,0.00344094500108053,"Global Volcanism Program (1996a), Armienta et al (2002), Atlas et al (2006), Martin-Del Pozzo et al (2008)"
Popocatépetl,"Xalliquehuac, Popocatzin, Popocatepec",341090,10551,19.023,-98.622,5452,1996,28 October,POP1996_02,28/10/1996 15:04:59,magmatic,Weak,0.467,1,0.33,1,2.00E+07,0,Unknown,Unknown,na,1000,yes,8.5,0,1,0,"v,u",5.8,0,0.5,0,u,Unknown,na,na,na,u,Unknown,Unknown,25,20,120,3,0.03,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.9,0.8,Unknown,na,10.0319988061427,0.0101755768954275,0.00438465468059031,9.93128720280788,0.0101383904040624,0.00385221623437839,"Global Volcanism Program (1996b), Armienta et al (2002), Atlas et al (2006), Martin-Del Pozzo et al (2008),"
Popocatépetl,"Xalliquehuac, Popocatzin, Popocatepec",341090,10551,19.023,-98.622,5452,1997,30 June,POP1997_01,23/11/1997 23:11:00,magmatic,Unknown,2.16,1,1.58,1,1.10E+09,0,Unknown,Unknown,na,1000,yes,13.5,0,2,2,"v,u",Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,50,3,185,6,0.1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.8,0.8,Unknown,na,21.7775871046933,0.0104551927339224,0.00545895385582327,19.8652798685434,0.00986426031556987,0.00513179035062413,"Global Volcanism Program (1997), Armienta et al (2002), Atlas et al (2006), Martin-Del Pozzo et al (2008)"
Quizapu,Cerro Azul,353060,11718,-35.653,-70.761,3150,1932,10 April,QUI1932_01,10/04/1932 14:00:00,Unknown,Unknown,22,0,4,0,9.96E+12,0,7.00E+12,1.57E+13,0,1000,yes,23,1,7,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,6.50E+10,6.50E+10,180,1,50,6,20,Unknown,negligible,576-708,no,NA,NA,NA,Unknown,300,Unknown,Unknown,na,5,1,870,Unknown,25.462878318997,0.0169907661268164,0.00185968716937415,22.0448718211093,0.0177035343187322,0.00143594300204712,"Hildreth and Drake (1992) , Bonadonna and Houghton (2005) , Ruprecht and Bachmann (2010), Sulpizio (2005), Bonadonna and Costa (2012,2013)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1989,14 December,RED1989_01,14/12/1989 18:47,phreatomagmatic,Unknown,0.383333333,0,0.038333333,2,7.50E+08,0,3.50E+08,3.50E+08,0,1000,no,9,0,3,1,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,31.0081486453371,0.0112019509396882,0.00863364030947805,41.8335652224972,0.0119437672537329,0.012118713440522,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1989,15 December,RED1989_02,15/12/1989 12:47:59,phreatomagmatic,Unknown,1.033333333,0,0.103333333,2,2.12E+10,0,6.15E+09,6.15E+09,0,1000,no,11,2,4,2,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,4.14E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,32.5439272089405,0.0134006564951544,0.00705907946577882,30.6177222756669,0.0128595012751326,0.00678063157847713,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1989,19 December,RED1989_03,19/12/1989 15:02:59,phreatomagmatic,Unknown,0.15,0,0.015,2,5.00E+08,0,1.00E+08,1.00E+08,0,1000,no,6.5,0,2.5,0,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,10.8198447155788,0.0137424529045569,0.00641622704848152,10.0980438975769,0.015644762474707,0.0058781489693782,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,2 January,RED1990_01,03/01/1990 02:48:00,Unknown,Unknown,1.45,0,0.145,2,3.90E+10,0,Unknown,Unknown,na,1000,no,12,1,2,1,v,8,0,2,2,s,Unknown,na,na,na,u,1.15E+10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,8.38396835388334,0.0153976247742802,0.00158760127266501,8.28594046914622,0.0151557279487334,0.00162179166592217,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,8 January,RED1990_02,08/01/1990 19:09:00,Unknown,Unknown,0.25,0,0.025,2,7.45E+09,0,Unknown,Unknown,na,1000,no,11.5,1,2.5,1,"v,g",9,0,2.5,0,"s,u",Unknown,na,na,na,u,6.90E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,14.7345455312368,0.0173973491420835,0.00255849922049383,13.5039092037503,0.0170814481160939,0.00239991104253905,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,16 January,RED1990_03,17/01/1990 07:48:00,Unknown,Unknown,0.216666667,0,0.021666667,2,3.50E+09,0,Unknown,Unknown,na,1000,no,11.5,0,2.5,1,"v,s",Unknown,na,na,na,u,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,30.3839473886133,0.0138099504061044,0.00597228625826095,33.7606756636259,0.0133838711606899,0.00658194101587778,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,15 February,RED1990_04,15/02/1990 13:00:59,Unknown,Unknown,0.333333333,0,0.033333333,2,8.75E+09,0,Unknown,Unknown,na,1000,no,11,0,2,1,"v,s",Unknown,na,na,na,u,Unknown,na,na,na,u,1.61E+10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,36.6241421296571,0.0118287818848975,0.00784104107033016,34.3254215650375,0.0112231078155546,0.00720162089475373,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,21 February,RED1990_05,21/02/1990 09:31:59,Unknown,Unknown,0.1,0,0.01,2,2.50E+09,0,Unknown,Unknown,na,1000,no,10.5,0,1.5,1,"s,v",9,1,1.5,1,v,Unknown,na,na,na,u,2.30E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,39.9557599768391,0.0167890960299834,0.0094507564390167,41.6233843379762,0.0164050786278289,0.00948910262777658,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
