Event,,,,,,,,,,,Style,,Duration,,,,TEM,,,,,Density,,Tephra plume top height,,,,,Spreading height of the Umbrella Cloud,,,,,SO2 plume height,,,,,PDC,,TEM metadata,,,,,,Collection,,TGSD metadata,,,,TGSD ,Vent Diameter (m),,Exit velocity (m/s),,Magma water content (wt.%),,Magma temperature (deg C),,Atmospheric Conditions,,,,,,References
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,24 February,RED1990_06,24/02/1990 14:05:00,Unknown,Unknown,0.066666667,0,0.006666667,2,2.00E+09,0,Unknown,Unknown,na,1000,no,8.5,1,2,2,"v,u",Unknown,na,na,na,u,Unknown,na,na,na,u,5.75E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,13.981498856465,0.00952149923865829,0.0042581535242376,14.4307946980364,0.00958659111921552,0.00408518844545437,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,28 February,RED1990_07,28/02/1990 18:47:00,Unknown,Unknown,0.083333333,0,0.008333333,2,1.70E+09,0,Unknown,Unknown,na,1000,no,8.5,1,2.5,1,"v,u",Unknown,na,na,na,u,Unknown,na,na,na,u,2.30E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,29.7346556356658,0.0117286885949279,0.00927586230738138,31.1206551900409,0.0104276363602566,0.00973638803413424,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,4 March,RED1990_08,05/03/1990 05:39:00,Unknown,Unknown,0.133333333,0,0.013333333,2,4.45E+09,0,Unknown,Unknown,na,1000,no,12.5,0,3,2,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,19.4231008870791,0.0158817977170632,0.00385272984530909,18.6647529342429,0.0157718201968939,0.00374504584490496,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,9 March,RED1990_09,09/05/1990 18:51:00,Unknown,Unknown,0.166666667,0,0.083333334,2,1.35E+09,0,Unknown,Unknown,na,1000,no,10.5,0,2.5,2,"v,u",Unknown,na,na,na,u,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,13.1205565264772,0.0115843857488429,0.00298345680750695,14.5593375115336,0.0109021282496012,0.00314952756280211,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,14 March,RED1990_10,14/03/1990 18:47:00,Unknown,Unknown,0.233333333,0,0.023333333,2,1.60E+09,0,Unknown,Unknown,na,1000,no,7,1,2,2,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,5.49182765515486,0.0108394317547913,0.00228828688646236,5.72308201104861,0.0100449069066879,0.00302233937735441,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,23 March,RED1990_11,23/03/1990 13:03:59,Unknown,Unknown,0.133333333,0,0.013333333,2,5.00E+08,0,Unknown,Unknown,na,1000,no,9,0,1.5,1,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,21.494304214048,0.00990976867155299,0.00595653674053954,19.4339206319436,0.0101133582722361,0.00542679554607446,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,29 March,RED1990_12,29/03/1990 19:32:59,Unknown,Unknown,0.116666667,0,0.011666667,2,1.75E+09,0,Unknown,Unknown,na,1000,no,12,2,3,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,18.4222396513796,0.0158472246001656,0.00333651046800915,18.9916969553006,0.0156311553037087,0.00358411707376902,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,6 April,RED1990_13,07/04/1990 02:23:00,Unknown,Unknown,0.116666667,0,0.058333334,2,9.00E+08,0,Unknown,Unknown,na,1000,no,9,0,2,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,6.50089065658935,0.0106687540624334,0.00201028462963904,10.588099960872,0.0102506259970197,0.00388946065148932,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,15 April,RED1990_14,15/04/1990 23:48:59,Unknown,Unknown,0.133333333,0,0.066666667,2,1.70E+09,0,Unknown,Unknown,na,1000,no,10,0,2,0,"g,v",12,0,3,2,g,Unknown,na,na,na,u,4.60E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,15.5000833105885,0.0101405260935163,0.00397505371325106,16.0716864606609,0.0102647749657452,0.00378359546301573,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20390,60.485,-152.742,3108,1990,21 April,RED1990_15,21/04/1990 18:11:00,Unknown,Unknown,0.066666667,0,0.033333334,2,1.15E+09,0,Unknown,Unknown,na,1000,no,10,1,2.5,1,v,12,0,3,2,v,Unknown,na,na,na,u,2.30E+09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,0.25,0.15,Unknown,na,3.05632274443127,0.0122739315565442,0.000564866328381457,4.76376183073188,0.0113735965856721,0.00102301195674626,"Brantley (1990), Miller and Chouet (1994), Scott and McGimsey (1994), Gardner et al (1994), Woods and Kienle (1994), Dean et al (1994), Wolf et al (1997)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20391,60.485,-152.742,2300,2009,Events 1-4,RED2009_01,23/03/2009 06:34:00,magmatic,Unknown,0.83,0,0.29,0,9.60E+09,0,Unknown,Unknown,na,Unknown,no,12.9,0,2,1,"g,s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,32,9,240,4,Unknown,0.01,negligible,0.03-1.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.5,0.5,925,35,14.9006175202685,0.0159679822132491,0.00212065935148678,16.5256865707436,0.016332382720194,0.00238150196552811,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013), Schneider et al (2013)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20391,60.485,-152.742,2300,2009,Event 5,RED2009_02,23/03/2009 12:30:00,magmatic,Unknown,0.275,0,0.058,0,4.40E+09,0,Unknown,Unknown,na,Unknown,no,14.9,0,2,1,"g,s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,36,Unknown,300,3,Unknown,0.01,negligible,0.03-3.5,yes,NA,NA,NA,2.31719919970567,Unknown,na,Unknown,na,4.5,0.5,925,35,13.356258914489,0.0164266913606771,0.00142885353934515,12.7602974989176,0.0166290172735371,0.001426739260746,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013), Schneider et al (2013)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20391,60.485,-152.742,2300,2009,Event 6,RED2009_03,24/03/2009 03:40:00,magmatic,Unknown,0.258,0,0.04,0,1.51E+10,0,Unknown,Unknown,na,Unknown,no,18.3,0,2,1,"g,s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,19,Unknown,105,3,Unknown,0.4,negligible,0.2-1.4,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.5,0.5,925,35,11.1998096245692,0.0169799262503174,0.000956773111174708,10.171243577299,0.0169579491280411,0.000896187180330176,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013), Schneider et al (2013)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20391,60.485,-152.742,2300,2009,Events 7-8,RED2009_04,26/03/2009 16:34:00,magmatic,Unknown,0.233,0,0.04,0,4.60E+09,0,Unknown,Unknown,na,Unknown,no,18.1,0,2,1,"g,s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,26,Unknown,Unknown,3,Unknown,0.1,significant,0.03-1.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.5,0.5,925,35,7.81364688546153,0.0171208217104951,0.000971610230389523,9.07444878522547,0.0170504603248264,0.0010104309440557,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013), Schneider et al (2013)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20391,60.485,-152.742,2300,2009,Events 9-18,RED2009_05,27/03/2009 07:47:00,magmatic,Unknown,1,1,0.35,1,1.32E+10,0,Unknown,Unknown,na,Unknown,no,12.9,0,2,1,"g,s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,58,Unknown,200,3,Unknown,0.01,some,0.03-1.3,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.5,0.5,925,35,6.32416442084025,0.0153782578029045,0.00100566754324563,6.50736940755262,0.0154122193805871,0.0011241105131144,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013), Schneider et al (2013)"
Redoubt,"Ujakushatsch, Viesokaia, Goreloi, Mirando, Yjakushatsch, Burnt Mountain",313030,20391,60.485,-152.742,2300,2009,Event 19,RED2009_06,04/04/2009 13:58:00,magmatic,Unknown,0.5,1,0.225,1,7.80E+09,0,Unknown,Unknown,na,Unknown,no,14.9,0,2,1,"g,s,v",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,18,Unknown,130,4,Unknown,0.4,some,0.01-1.15,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.5,0.5,925,35,23.4698157961425,0.0165456143756277,0.00301751456064216,23.4103444345597,0.0166419382691653,0.00309521372966058,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013), Schneider et al (2013)"
Reventador,"EL Reventador, Pisambilla",352010,11446,-0.077,-77.656,3562,2002,3 November,REV2002_01,03/11/2002 14:12:00,phreatomagmatic,Strong,0.75,0,0.083,2,1.35E+11,2,Unknown,Unknown,na,500,yes,17.3,0,3.3,0,"v,s",15.5,0,7.5,0,s,Unknown,na,na,na,u,6.50E+10,2.30E+10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,285,na,5.1,2,950,100,5.75051590430278,0.0118917123600346,0.000711034327796595,5.80173260745487,0.0117630001648409,0.000746574885156726,"Global Volcanism Program (2002), Hall et all (2004), Moxey (2005), Samaniego et al (2008),  Ridolfi et al (2008), personnal communication with Jean-Luc Le Pennec (November 2016)"
Ruapehu,Ruapahu,241100,14664,-39.28,175.57,2797,1995,11 October,RUA1995_01,11/10/1995 07:59:59,phreatomagmatic,Unknown,8,0,1,2,3.25E+10,0,Unknown,Unknown,na,1300,yes,11,0,1,1,"v,u",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,100,Unknown,Unknown,5,0.5,Unknown,negligible,0-0.06,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.4,0.4,1050,50,18.2218913341828,0.0113624291320424,0.00360911745399308,19.0749165580093,0.0107459712428811,0.00367213442105087,"Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013), Bonadonna and Houghton (2005), Bonadonna and Costa (2012), Prata and Grant (2001)"
Ruapehu,Ruapahu,241100,14664,-39.28,175.57,2797,1995,14 October,RUA1995_02,14/10/1995 03:00:00,phreatomagmatic,Unknown,6.5,1,1.5,1,6.50E+09,0,Unknown,Unknown,na,1300,yes,11,0,1,0,"v,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,100,Unknown,Unknown,5,0.5,Unknown,negligible,0-0.06,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.4,0.4,1050,50,32.0212493452477,0.010614241765788,0.00623207384998011,27.5391913619525,0.00961665332686281,0.00504430121565628,"Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013), Bonadonna and Houghton (2005), Bonadonna and Costa (2012), Prata and Grant (2001)"
Ruapehu,Ruapahu,241100,14666,-39.28,175.57,2797,1996,17 June,RUA1996_01,16/06/1996 17:50:00,phreatomagmatic,Unknown,12.5,2,6,1,4.51E+09,0,1.81E+09,2.69E+09,0,1100,yes,8,0,1.5,1,s,7,1,1.5,1,s,Unknown,na,na,na,u,0.00E+00,Unknown,100,Unknown,Unknown,6,0.025,Unknown,negligible,0-0.06,yes,105,5,160,-0.649596857007864,Unknown,na,Unknown,na,1.5,0.8,1050,50,21.1612044291959,0.00967863268697569,0.0065424859319908,24.2282999681877,0.00893117714945275,0.00740295749171769,"Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013), Bonadonna and Houghton (2005), Bonadonna and Costa (2012), Prata and Grant (2001), Costa et al (2016), IAVCEI THM database"
Santa Maria,Gagxanul,342030,10624,14.757,-91.552,3772,1902,25 October,STM1902_01,25/10/1902 07:00:00,magmatic,Unknown,19,0,1,0,1.60E+13,0,7.30E+12,5.20E+13,0,1100,yes,28,1,14,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,50,0.8,190,7,10,Unknown,some,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,3.5,0.4,Unknown,na,7.05943389791614,0.0172969740512935,0.000613849341469476,7.26047548690434,0.0173350848557347,0.000628351099803369,"Williams and Self (1983), Pyle (1989), Bonadonna and Houghton (2005), Sadofsky et al (2008), Girault et al (2014), Bonadonna and Costa (2012)"
Sarychev Peak,"Fue-san, Matsuwa-jima, Matua-jima, Sarnicheff",290240,18819,48.092,153.2,1450,2009,12-16 June,SAR2009_01,12/06/2009 02:00:00,Unknown,Unknown,87,1,14.5,1,4.00E+11,1,Unknown,Unknown,na,1000,yes,12,1,4,1,s,8.5,1,1.5,1,s,12,0,2,0,s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4,1,1015,30,3.69957129379991,0.0127819182543461,0.000481499915461828,3.56414648284758,0.0124773320982772,0.000391806391579342,"Rybin et al (2011), Carn and Lopez (2011), Rybin et al (2012), Carboni et al. (2016), personnal communication with Peter Webley (January 2016), Urai et al. (2011)"
Shinmoedake - Kirishimayaya,"Kirisima, Kirishima",282090,20782,31.934,130.862,1421,2011,Phase SP1+SP2,SMD2011_01,26/01/2011 05:30:00,magmatic,Weak,6,0,1,0,1.44E+10,1,8.10E+09,2.63E+10,0,1200,yes,7.3,0,1.3,0,"g,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,39,3,63,9,Unknown,1,some,0.016,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.4,0.6,970,10,32.409187353977,0.0140100188663095,0.0103007434337962,31.2310324258932,0.0130167591429951,0.00945777429352025,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)"
Shinmoedake - Kirishimayaya,"Kirisima, Kirishima",282090,20782,31.934,130.862,1421,2011,Phase SP3,SMD2011_02,27/01/2011 06:40:00,magmatic,Weak,2,0,0.3,0,2.40E+09,0,1.70E+09,6.70E+09,0,1200,yes,7.4,0,1,0,g,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,30,3,71,5,Unknown,1,negligible,0.016,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.4,0.6,970,10,27.1068527346552,0.013614347854774,0.00854252982989533,25.5195369541024,0.0123069400607045,0.00817187258867112,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)"
Shishaldin,"Agajedan, Sisquk, Chichaldinskoi, Shushaldinskaya, Sisaguk, Volcano de Fernandez, Smoking Moses, Moses, Sissagjuk",311360,20097,54.756,-163.97,2857,1999,19 April,SHI1999_01,19/04/1999 20:15:00,magmatic,Unknown,2.65,0,1.35,0,3.64E+10,0,2.26E+10,3.70E+10,2,850,yes,14.5,0,2,1,"v,s",Unknown,na,na,na,u,16.5,1,1.5,1,u,0.00E+00,Unknown,14,5,16,4,1,Unknown,sigificant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,6.43101965655822,0.0161663740014872,0.000668561879014372,8.90263844337813,0.0162477176407127,0.000950630666681393,"Global Volcanism Program (1999), Stelling et al (2002), Nye et al (2002), Rizi et al (2000), Schneider and Thompson (2000)"
Soufrière St. Vincent,"Morne Garu, Morne Garou, Soufrière Saint Vincent",360150,12455,13.33,-61.18,1220,1979,26 April,SSV1979_01,26/04/1979 03:58:00,phreatomagmatic,Unknown,0.103,0,0.0167,2,1.25E+09,1,Unknown,Unknown,na,1000,yes,14,0,2,2,"v,s",7,1,3,1,v,Unknown,na,na,na,u,0.00E+00,Unknown,33,4.7,34,4,Unknown,0.5,significant,0-0.01,yes,12,6,11,3.10203257644688,Unknown,na,Unknown,na,Unknown,na,1000,50,6.53296809847394,0.0111023034994062,0.00097635219827203,6.85362393065188,0.0102537519594707,0.00105745204786451,"Brazier et al  (1982), Sheperd et al (1979), Poret et al (2017)"
Spurr,NA,313040,20399,61.299,-152.251,2309,1992,27 June,SPU1992_01,27/06/1992 15:04:00,magmatic,Unknown,4.05,0,1,1,3.12E+10,0,Unknown,Unknown,na,700,yes,14.5,0,2,1,"g,v",Unknown,na,na,na,u,11,0,1,0,s,0.00E+00,Unknown,10,17,192,6,Unknown,1.5,negligible,0.1-0.25,no,NA,NA,NA,Unknown,20,10,Unknown,na,Unknown,na,Unknown,na,17.8475856386383,0.0143424202582756,0.00217777232516559,19.9652311100668,0.0145690367479442,0.002403881126976,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001), Rose et al (1995), Bluth et al (1995), Miller et al (1995), Waitt et al (1995), Durant and Rose (2009), Global Volcanism Program (1992)"
Spurr,NA,313040,20399,61.299,-152.251,2309,1992,18 August,SPU1992_02,19/08/1992 00:42:00,magmatic,Unknown,2.5,0,1,0,3.64E+10,0,Unknown,Unknown,na,700,yes,13.7,0,2,1,"g,v",Unknown,na,na,na,u,13,0,1,0,s,1.50E+08,1.50E+08,46,4,350,9,Unknown,0.1,some,0.1-0.25,yes,27,2,25,2.62634384714073,20,10,200,50,Unknown,na,Unknown,na,16.6740741257611,0.0134830714197723,0.00254763854737977,13.3240980663698,0.0128825424535954,0.00210135192153808,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001), Rose et al (1995), Bluth et al (1995), Miller et al (1995), Waitt et al (1995), Durant and Rose (2009), Global Volcanism Program (1992), Costa et al (2016), IAVCEI THM database"
Spurr,NA,313040,20399,61.299,-152.251,2309,1992,17 September,SPU1992_03,17/09/1992 08:03:00,magmatic,Unknown,3.28,0,0.32,0,3.90E+10,0,Unknown,Unknown,na,700,yes,13.9,0,2,1,g,Unknown,na,na,na,u,14,0,2,0,s,1.50E+08,1.50E+08,55,4,390,7,Unknown,0.05,negligible,0.1-0.25,yes,17,2,250,3.57931389577815,20,10,Unknown,na,Unknown,na,Unknown,na,25.6300604216224,0.0143209591620715,0.00386254660945738,23.0955070213067,0.014161040885734,0.00337026216938758,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001), Rose et al (1995), Bluth et al (1995), Miller et al (1995), Waitt et al (1995), Durant and Rose (2009), Global Volcanism Program (1992), Costa et al (2016), IAVCEI THM database"
Stromboli,Strongyle,211040,13435,38.789,15.213,924,2003,5 April,STR2003_01,05/04/2003 07:13:19,magmatic,Strong,0.0069,0,0.0039,0,1.25E+08,0,Unknown,Unknown,na,1200,no,5,0,1,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,35,0.5,2.3,4,Unknown,1,significant,0.25-2,no,NA,NA,NA,Unknown,Unknown,na,240,90,1.5,1,Unknown,na,11.1293630799571,0.0118377203445142,0.00428763815059583,13.1107951298451,0.0105059867967673,0.0050033214340833,"Metrich et al (2005), Rosi et al (2006), Ripepe and Harris (2006), Calvari et al (2006), Global Volcanism Program (2003)"
Tungurahua,Tunguragua,352080,11643,-1.467,-78.442,5023,2001,4 August,TUN2001_01,04/08/2001 17:00:00,magmatic,Weak,348,0,60,0,6.15E+09,0,3.60E+09,3.60E+09,0,1000,yes,8.4,0,1,1,s,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,91,2.5,27,12,0.3,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,6.3869993511173,0.0115879742410689,0.0023607269602185,7.27733744813428,0.0124362938942299,0.0024124071756994,"Le Pennec et al (2002), Le Pennec et al (2012), Global Volcanism Program (2001)"
Tungurahua,Tunguragua,352080,11643,-1.467,-78.442,5023,2006,17 August,TUN2006_01,17/08/2006 05:12:00,magmatic,Unknown,5,0,1,0,2.49E+10,0,3.24E+09,3.24E+09,0,1060,no,16,1,3,1,s,Unknown,na,na,na,u,Unknown,na,na,na,u,6.15E+10,9.60E+10,81,7,60,6,0.3,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.9,1.5,Unknown,na,5.85516995919775,0.0109538594949291,0.000646100641025585,6.19212601373129,0.0101140447177475,0.000745583845522533,"Steffke et al (2010), Eychenne et all (2012,2013), Hall et al (2013), Myers et al (2014), Bernard et al (2016), Global Volcanism Program (2006)"
Tungurahua,Tunguragua,352080,22215,-1.467,-78.442,5023,2013,14 July,TUN2013_01,14/07/2013 13:47:00,magmatic,Unknown,1,0,0.333,1,6.72E+08,0,5.00E+07,5.00E+07,0,1255,no,11.4,1,2.3,1,"s,u",Unknown,na,na,na,u,Unknown,na,na,na,u,2.25E+09,Unknown,51,2,32,9,Unknown,0.8,negligible,0.008-0.06,yes,NA,NA,NA,2.40460802532829,Unknown,na,Unknown,na,Unknown,na,Unknown,na,7.20916484527478,0.0100436219557829,0.00178831494938842,8.73580885724567,0.010337584750523,0.00212829543205204,"Myers et al (2014), Parra et al (2016), Global Volcanism Program (2017)"
Tungurahua,Tunguragua,352080,22215,-1.467,-78.442,5023,2014,1 February,TUN2014_01,01/02/2014 22:12:00,magmatic,Strong,0.43,1,0.27,1,5.40E+09,0,8.10E+08,2.37E+10,0,1000,yes,13.7,0,5.48,2,u,Unknown,na,na,na,u,Unknown,na,na,na,u,1.56E+09,Unknown,23,9.5,223,4,0.1,Unknown,negligible,0.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,5.08726940326865,0.00996108207786753,0.00083298367485398,5.78591418774881,0.00934254225055681,0.00114749174383628,"Romero et al (2017), Hall et al (2015), Global Volcanism Program (2017)"
Tyatya,"Chachadake, Antonia Peak, Tsiatsia, Chachanobori, Tiatia, St. Antony Peak, Chacha, Sofunobori, Chachanupuri, Saint Antony Peak",290030,18740,44.353,146.252,500,1973,15 July,TYA1973_01,15/07/1973 01:00:00,magmatic,Unknown,96,2,72,2,2.60E+11,1,Unknown,Unknown,na,1300,yes,8,2,3,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,27,2.3,15,5,10,Unknown,significant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,13.7451279092325,0.0133186969893493,0.00342872969383775,16.3554536828004,0.0130825707754637,0.00395069700837533,"Belousov et al. (2017), Nakagawa et al. (2002), "
Villarrica,"Villa Rica, Quitralpillan, Pucon, Pucanu",357120,20996,-39.42,-71.93,2847,2015,3 March,VIL2015_01,03/03/2015 06:10:00,magmatic,Weak,0.42,0,0.15,1,1.42E+09,0,7.33E+08,6.00E+08,0,1000,no,9.1,1,3,1,"u,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,29,5.5,21,29,Unknown,2,negligible,24-34,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,10.2868140665183,0.0104129519401768,0.00291839675932227,6.60683973611766,0.0100445724410612,0.00145614316334301,"Sernageomin (2015), Romero et al (2016), Global Volcanism Program (2016)"
